Name,Detail,URL
Publix Pharmacy at Surfside,Pharmacy ·  · 9400 Harding AveOpen ⋅ Closes 9 PM · (305) 865-4378 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Biscayne Commons,Supermarket ·  · 14641 Biscayne BlvdSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (305) 354-2171 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at 127th Street Shopping Center,Supermarket ·  · 12800 Biscayne BlvdSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (305) 893-6781 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at North Shore,Supermarket ·  · 6876 Collins AveSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (305) 864-7405 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Publix Liquors at Aventura Shopping Center,Liquor store ·  · 2952 NE 199th St Ste 1One-stop shop for liquor & beerOpen ⋅ Closes 10 PM · (305) 792-1429 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Florida Lottery,Lottery retailer · Open now ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
Florida Lottery,Stores and shopping ·  · 2100 NW 42nd AveOpen ⋅ Closes 5 PM · (305) 364-3080 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
Miggelee-Misiah,"Lottery retailer ·  · 19501 Biscayne Blvd, AventuraOpen now · (305) 317-8018 ","https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
Florida Lottery Miami District Office,District government office ·  · 14621 Oak LnOpen ⋅ Closes 4 PM · (305) 364-3080 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
Lotto Stop N' Shop Food Store,Store · (954) 268-9907 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
